City,Year,Avg_Rent,Population,Interest_Rate,Inflation_Rate,Unemployment_Rate,Pop_Growth_Pct
Hamilton,2015,1040.0,762554.0,0.5,1.68,6.0,1.0331071635582445
Hamilton,2016,1042.0,770432.0,0.5,1.68,6.47,1.0331071635582445
Hamilton,2017,1109.0,779719.0,0.7,1.68,5.52,1.2054276042531953
Hamilton,2018,1162.0,788294.0,1.4,2.35,5.64,1.0997551682080386
Hamilton,2019,1223.0,799626.0,1.75,1.87,4.82,1.437534726891232
Hamilton,2020,1292.0,811706.0,0.56,0.64,9.06,1.5107062551742878
Hamilton,2021,1364.0,817777.0,0.25,3.48,8.08,0.7479309010897994
Hamilton,2022,1438.0,827480.0,1.93,6.8,5.08,1.1865092806474076
Hamilton,2023,1619.0,843066.0,4.74,3.78,5.29,1.883550055590466
Hamilton,2024,1636.0,862679.0,4.55,2.38,6.56,2.3263896302306186
Hamilton,2025,1656.0,871143.0,2.71,1.9,6.92,0.9811297133696328
Kitchener,2015,996.0,530332.0,0.5,1.68,5.4,2.17222419163845
Kitchener,2016,1046.0,541852.0,0.5,1.68,5.37,2.17222419163845
Kitchener,2017,1087.0,553879.0,0.7,1.68,5.02,2.2196097827451133
Kitchener,2018,1202.0,568467.0,1.4,2.35,4.89,2.6337882461692885
Kitchener,2019,1223.0,582884.0,1.75,1.87,5.11,2.5361190711158166
Kitchener,2020,1287.0,595366.0,0.56,0.64,8.57,2.141420934525562
Kitchener,2021,1349.0,602303.0,0.25,3.48,7.33,1.1651656292095858
Kitchener,2022,1454.0,627929.0,1.93,6.8,5.13,4.254669161534985
Kitchener,2023,1637.0,664490.0,4.74,3.78,5.26,5.822473559908836
Kitchener,2024,1747.0,699402.0,4.55,2.38,6.27,5.253954160333496
Kitchener,2025,1832.0,701568.0,2.71,1.9,6.98,0.30969313785205177
London,2015,959.0,501731.0,0.5,1.68,6.12,1.6885542252720986
London,2016,1000.0,510203.0,0.5,1.68,6.16,1.6885542252720986
London,2017,1037.0,523022.0,0.7,1.68,5.72,2.512529326562163
London,2018,1088.0,537014.0,1.4,2.35,5.85,2.6752220747884303
London,2019,1106.0,548743.0,1.75,1.87,5.39,2.184114380630664
London,2020,1216.0,559067.0,0.56,0.64,8.07,1.8813907421142417
London,2021,1279.0,567539.0,0.25,3.48,8.02,1.5153818773062877
London,2022,1394.0,586473.0,1.93,6.8,5.48,3.3361583961630803
London,2023,1473.0,607654.0,4.74,3.78,5.28,3.6115899623682557
London,2024,1541.0,626875.0,4.55,2.38,6.17,3.1631487655804147
London,2025,1651.0,633002.0,2.71,1.9,6.25,0.9773878364905286
Ottawa,2015,1044.0,1055546.0,0.5,1.68,6.74,-18.25533272618007
Ottawa,2015,1174.0,1055546.0,0.5,1.68,6.74,-18.25533272618007
Ottawa,2016,1062.0,1072882.0,0.5,1.68,6.57,1.6423727625323847
Ottawa,2016,1201.0,1072882.0,0.5,1.68,6.57,1.6423727625323847
Ottawa,2017,1086.0,1098582.0,0.7,1.68,5.92,2.3954172033830323
Ottawa,2017,1231.0,1098582.0,0.7,1.68,5.92,2.3954172033830323
Ottawa,2018,1138.0,1123368.0,1.4,2.35,4.71,2.256181149882308
Ottawa,2018,1297.0,1123368.0,1.4,2.35,4.71,2.256181149882308
Ottawa,2019,1244.0,1148411.0,1.75,1.87,4.88,2.2292783842872588
Ottawa,2019,1409.0,1148411.0,1.75,1.87,4.88,2.2292783842872588
Ottawa,2020,1315.0,1172078.0,0.56,0.64,7.2,2.0608475537068127
Ottawa,2020,1513.0,1172078.0,0.56,0.64,7.2,2.0608475537068127
Ottawa,2021,1379.0,1184369.0,0.25,3.48,6.41,1.0486503457961094
Ottawa,2021,1547.0,1184369.0,0.25,3.48,6.41,1.0486503457961094
Ottawa,2022,1499.0,1209897.0,1.93,6.8,4.41,2.1554093361106252
Ottawa,2022,1627.0,1209897.0,1.93,6.8,4.41,2.1554093361106252
Ottawa,2023,1544.0,1246173.0,4.74,3.78,4.4,2.998271753711257
Ottawa,2023,1693.0,1246173.0,4.74,3.78,4.4,2.998271753711257
Ottawa,2024,1684.0,1291272.0,4.55,2.38,5.66,3.618999930186262
Ottawa,2024,1869.0,1291272.0,4.55,2.38,5.66,3.618999930186262
Ottawa,2025,1460.0,1325788.0,2.71,1.9,6.19,2.6730231895371492
Ottawa,2025,1926.0,1325788.0,2.71,1.9,6.19,0.0
Toronto,2015,1286.0,6045256.0,0.5,1.68,7.25,1.274933600826822
Toronto,2016,1326.0,6122329.0,0.5,1.68,6.96,1.274933600826822
Toronto,2017,1403.0,6202798.0,0.7,1.68,6.58,1.3143527569328572
Toronto,2018,1468.0,6313488.0,1.4,2.35,6.09,1.7845172452818803
Toronto,2019,1563.0,6426293.0,1.75,1.87,5.89,1.7867302511701988
Toronto,2020,1637.0,6491939.0,0.56,0.64,10.52,1.0215220501150535
Toronto,2021,1680.0,6472951.0,0.25,3.48,9.48,-0.2924858043182432
Toronto,2022,1779.0,6591642.0,1.93,6.8,6.41,1.8336458904138153
Toronto,2023,1958.0,6840723.0,4.74,3.78,6.09,3.7787398041337905
Toronto,2024,1972.0,7109866.0,4.55,2.38,7.73,3.9344233058406175
Toronto,2025,2046.0,7108874.0,2.71,1.9,8.74,-0.013952442985565305
