City,Year,Avg_Rent,Population,Interest_Rate,Inflation_Rate,Unemployment_Rate,Pop_Growth_Pct,Rent_Lag1,Pop_Lag1,Unemp_Lag1,Growth_Lag1,Rent_Lag2,is_pandemic,Pop_Growth_Acceleration,Affordability_Index
Hamilton,2017,1109.0,779719.0,0.7,1.68,5.52,1.2054276042531953,1042.0,770432.0,6.47,1.0331071635582445,1040.0,0,0.17232044069495078,197.33096085409255
Hamilton,2018,1162.0,788294.0,1.4,2.35,5.64,1.0997551682080386,1109.0,779719.0,5.52,1.2054276042531953,1042.0,0,-0.10567243604515664,202.43902439024393
Hamilton,2019,1223.0,799626.0,1.75,1.87,4.82,1.437534726891232,1162.0,788294.0,5.64,1.0997551682080386,1109.0,0,0.3377795586831933,248.57723577235774
Hamilton,2020,1292.0,811706.0,0.56,0.64,9.06,1.5107062551742878,1223.0,799626.0,4.82,1.437534726891232,1162.0,1,0.07317152828305584,141.04803493449782
Hamilton,2021,1364.0,817777.0,0.25,3.48,8.08,0.7479309010897994,1292.0,811706.0,9.06,1.5107062551742878,1223.0,1,-0.7627753540844884,166.7481662591687
Hamilton,2022,1438.0,827480.0,1.93,6.8,5.08,1.1865092806474076,1364.0,817777.0,8.08,0.7479309010897994,1292.0,0,0.43857837955760814,277.6061776061776
Hamilton,2023,1619.0,843066.0,4.74,3.78,5.29,1.883550055590466,1438.0,827480.0,5.08,1.1865092806474076,1364.0,0,0.6970407749430585,300.37105751391465
Hamilton,2024,1636.0,862679.0,4.55,2.38,6.56,2.3263896302306186,1619.0,843066.0,5.29,1.883550055590466,1438.0,0,0.44283957464015256,245.6456456456457
Hamilton,2025,1656.0,871143.0,2.71,1.9,6.92,0.9811297133696328,1636.0,862679.0,6.56,2.3263896302306186,1619.0,0,-1.3452599168609858,235.8974358974359
Kitchener,2017,1087.0,553879.0,0.7,1.68,5.02,2.2196097827451133,1046.0,541852.0,5.37,2.17222419163845,996.0,0,0.047385591106663405,212.30468750000003
Kitchener,2018,1202.0,568467.0,1.4,2.35,4.89,2.6337882461692885,1087.0,553879.0,5.02,2.2196097827451133,1046.0,0,0.4141784634241752,240.88176352705415
Kitchener,2019,1223.0,582884.0,1.75,1.87,5.11,2.5361190711158166,1202.0,568467.0,4.89,2.6337882461692885,1087.0,0,-0.09766917505347195,234.74088291746642
Kitchener,2020,1287.0,595366.0,0.56,0.64,8.57,2.141420934525562,1223.0,582884.0,5.11,2.5361190711158166,1202.0,1,-0.39469813659025466,148.44290657439447
Kitchener,2021,1349.0,602303.0,0.25,3.48,7.33,1.1651656292095858,1287.0,595366.0,8.57,2.141420934525562,1223.0,1,-0.9762553053159762,181.56123822341857
Kitchener,2022,1454.0,627929.0,1.93,6.8,5.13,4.254669161534985,1349.0,602303.0,7.33,1.1651656292095858,1287.0,0,3.0895035323253994,278.01147227533465
Kitchener,2023,1637.0,664490.0,4.74,3.78,5.26,5.822473559908836,1454.0,627929.0,5.13,4.254669161534985,1349.0,0,1.567804398373851,305.41044776119406
Kitchener,2024,1747.0,699402.0,4.55,2.38,6.27,5.253954160333496,1637.0,664490.0,5.26,5.822473559908836,1454.0,0,-0.5685193995753401,274.25431711146
Kitchener,2025,1832.0,701568.0,2.71,1.9,6.98,0.3096931378520517,1747.0,699402.0,6.27,5.253954160333496,1637.0,0,-4.944261022481444,258.7570621468927
London,2017,1037.0,523022.0,0.7,1.68,5.72,2.512529326562163,1000.0,510203.0,6.16,1.6885542252720986,959.0,0,0.8239751012900642,178.17869415807561
London,2018,1088.0,537014.0,1.4,2.35,5.85,2.6752220747884303,1037.0,523022.0,5.72,2.512529326562163,1000.0,0,0.16269274822626745,182.8571428571429
London,2019,1106.0,548743.0,1.75,1.87,5.39,2.184114380630664,1088.0,537014.0,5.85,2.6752220747884303,1037.0,0,-0.49110769415776634,201.45719489981786
London,2020,1216.0,559067.0,0.56,0.64,8.07,1.8813907421142415,1106.0,548743.0,5.39,2.184114380630664,1088.0,1,-0.3027236385164225,148.8372093023256
London,2021,1279.0,567539.0,0.25,3.48,8.02,1.5153818773062877,1216.0,559067.0,8.07,1.8813907421142415,1106.0,1,-0.3660088648079538,157.51231527093597
London,2022,1394.0,586473.0,1.93,6.8,5.48,3.3361583961630803,1279.0,567539.0,8.02,1.5153818773062877,1216.0,0,1.8207765188567926,249.82078853046593
London,2023,1473.0,607654.0,4.74,3.78,5.28,3.611589962368256,1394.0,586473.0,5.48,3.3361583961630803,1279.0,0,0.27543156620517584,273.7918215613383
London,2024,1541.0,626875.0,4.55,2.38,6.17,3.1631487655804147,1473.0,607654.0,5.28,3.611589962368256,1394.0,0,-0.44844119678784145,245.77352472089316
London,2025,1651.0,633002.0,2.71,1.9,6.25,0.9773878364905286,1541.0,626875.0,6.17,3.1631487655804147,1473.0,0,-2.185760929089886,260.0
Ottawa,2017,1231.0,1098582.0,0.7,1.68,5.92,2.3954172033830323,1201.0,1072882.0,6.57,1.6423727625323847,1174.0,0,0.7530444408506476,204.48504983388705
