City,Year,Scenario,Predicted_Rent
Hamilton,2026,Status Quo,1689.3289
Hamilton,2027,Status Quo,1689.0316
Hamilton,2026,High Growth,1731.3345
Hamilton,2027,High Growth,1689.3076
Hamilton,2026,Correction,1698.2513
Hamilton,2027,Correction,1698.2526
Kitchener,2026,Status Quo,1721.1084
Kitchener,2027,Status Quo,1689.0316
Kitchener,2026,High Growth,1731.3345
Kitchener,2027,High Growth,1689.3076
Kitchener,2026,Correction,1698.2151
Kitchener,2027,Correction,1698.2168
London,2026,Status Quo,1689.3289
London,2027,Status Quo,1689.0316
London,2026,High Growth,1731.3174
London,2027,High Growth,1689.3076
London,2026,Correction,1698.2511
London,2027,Correction,1698.2526
Ottawa,2026,Status Quo,1692.8254
Ottawa,2027,Status Quo,1692.8269
Ottawa,2026,High Growth,1693.389
Ottawa,2027,High Growth,1693.1018
Ottawa,2026,Correction,1701.7361
Ottawa,2027,Correction,1702.0461
Toronto,2026,Status Quo,2006.7878
Toronto,2027,Status Quo,1995.0573
Toronto,2026,High Growth,2016.733
Toronto,2027,High Growth,1995.0573
Toronto,2026,Correction,1997.5857
Toronto,2027,Correction,1997.5857
