City,Turnover_Rate,Average rent ($),Year,Total_Units,Buy_Price,Intl_Students_Prov,Annual_Rent,Cap_Rate,Price_to_Rent_Ratio,Average rent ($)_Lag1,Average rent ($)_Lag2,Average rent ($)_Growth,Turnover_Rate_Lag1,Turnover_Rate_Lag2,Turnover_Rate_Growth,Total_Units_Lag1,Total_Units_Lag2,Total_Units_Growth,Intl_Students_Prov_Lag1,Intl_Students_Prov_Lag2,Intl_Students_Prov_Growth,Cap_Rate_Lag1,Cap_Rate_Lag2,Cap_Rate_Growth,Student_Supply_Mismatch,Target_Next_Year_Rent,Target_Next_Year_Growth
Calgary,23.6,1914.0,2025,62657.0,329233.3333333333,159320.0,22968.0,6.976207350410044,14.334436317194937,1882.0,1695.0,1.7003188097768351,23.6,27.9,0.0,56441.0,51295.0,11.013270494853034,159320.0,160510.0,0.0,6.69684689137096,6.852330151600225,4.17152226369466,-11.013270494853034,,
Edmonton,26.5,1603.0,2025,90595.0,207083.33333333337,159320.0,19236.0,9.28901408450704,10.765405143134403,1536.0,1398.0,4.361979166666674,28.1,30.4,-5.693950177935947,85795.0,81705.0,5.594731627717242,159320.0,160510.0,0.0,9.654895455934346,9.6728810301749,-3.7895943368544627,-5.594731627717242,,
Halifax,10.0,1826.0,2025,62411.0,451316.6666666667,108000.0,21912.0,4.855127589645112,20.596781063648535,1707.0,1628.0,6.971294669009964,10.5,11.1,-4.761904761904767,59725.0,55519.0,4.497279196316439,108000.0,107770.0,0.0,4.539809770061871,4.473466272302262,6.945617449934316,-4.497279196316439,,
Hamilton,9.5,1656.0,2025,45428.0,492741.6666666667,20930.0,19872.0,4.032944917045781,24.795776301663984,1632.0,1617.0,1.4705882352941124,11.1,12.3,-14.414414414414411,45445.0,44765.0,-0.03740785564968485,20930.0,21270.0,0.0,3.763078253350627,3.634104849156431,7.171433744564482,0.03740785564968485,,
London,13.4,1651.0,2025,49202.0,357575.0,20930.0,19812.0,5.540655806474167,18.048405007066425,1548.0,1479.0,6.653746770025837,14.4,15.1,-6.944444444444442,48189.0,47023.0,2.102139492415289,20930.0,21270.0,0.0,4.875057408419901,4.934226073257188,13.653139692358994,-2.102139492415289,,
Montreal,11.1,1346.0,2025,667266.0,425366.6666666667,397765.0,16152.0,3.7971945772274895,26.335231963017996,1346.0,1176.0,0.0,11.1,10.35,0.0,667266.0,660315.5,0.0,397765.0,397765.0,0.0,3.7971945772274895,3.3955386234898994,0.0,0.0,,
Ottawa,14.5,1757.0,2025,82160.0,402291.6666666667,20930.0,21084.0,5.240973588814086,19.0804243344084,1926.0,1684.0,-8.77466251298027,14.5,15.5,0.0,82160.0,80311.5,0.0,20930.0,20930.0,0.0,5.745085447954428,4.975450619120408,-8.77466251298027,0.0,,
Quebec City,13.9,1276.0,2025,118693.0,290033.3333333333,397765.0,15312.0,5.279393173198484,18.941570881226053,1277.0,1159.0,-0.0783085356303892,13.9,14.4,0.0,118693.0,116392.5,0.0,397765.0,397765.0,0.0,5.283530628663372,5.1468220927005275,-0.078308535630367,0.0,,
Regina,31.6,1473.0,2025,14806.0,213275.0,52490.0,17676.0,8.287891220255538,12.065795428830052,1415.0,1301.0,4.0989399293286155,31.9,34.5,-0.940438871473348,14490.0,14022.0,2.1808143547273895,52490.0,46710.0,0.0,8.194651116026542,7.789447424223525,1.1378166429397263,-2.1808143547273895,,
Saskatoon,28.6,1548.0,2025,18171.0,253583.33333333337,52490.0,18576.0,7.32540256325994,13.651126902095896,1471.0,1360.0,5.234534330387497,36.5,33.1,-21.643835616438356,17472.0,16958.0,4.000686813186816,52490.0,46710.0,0.0,7.577862841197726,7.78749801177032,-3.3315498476069405,-4.000686813186816,,
St. Johns,,1348.0,2025,,251991.66666666663,22380.0,16176.0,6.419259896160588,15.57811984833498,1242.0,1189.0,8.534621578099832,,,,,,,22380.0,24625.0,0.0,6.313470770968655,6.554224246832295,1.6756096453061087,,,
Toronto,6.4,2046.0,2025,336180.0,580225.0,20930.0,24552.0,4.231461932870869,23.63249429781688,1974.0,1961.0,3.6474164133738496,8.3,9.8,-22.89156626506025,334748.0,325494.0,0.4277844826556132,20930.0,21270.0,0.0,3.8133158043008737,3.6712820312804713,10.965420910022349,-0.4277844826556132,,
Vancouver,9.1,2363.0,2025,127091.0,740783.3333333334,220.0,28356.0,3.8278398992057956,26.124394601965488,2314.0,2181.0,2.1175453759723517,8.1,10.7,12.34567901234569,124159.0,121692.0,2.361488091882191,220.0,175.0,0.0,3.6257752823659986,3.4728147288107483,5.57300442260007,-2.361488091882191,,
Victoria,14.6,2120.0,2025,34143.0,551350.0,220.0,25440.0,4.614128956198422,21.67256289308176,1993.0,1839.0,6.372303060712503,15.7,15.0,-7.006369426751591,32850.0,31064.0,3.936073059360723,220.0,175.0,0.0,4.318331602943168,3.950708637923318,6.849806370906131,-3.936073059360723,,
Windsor,,1451.0,2025,,391700.0,20930.0,17412.0,4.445238703089099,22.49597978405697,1376.0,1246.0,5.450581395348841,,,,,,,20930.0,21270.0,0.0,4.170486834627771,3.8411509066386933,6.588004694800831,,,
Winnipeg,18.5,1571.0,2025,75154.0,229641.66666666663,14205.0,18852.0,8.209311608665676,12.181289341537589,1507.0,1427.0,4.246848042468487,19.2,19.2,-3.645833333333326,73270.0,69460.0,2.571311587279923,14205.0,14050.0,0.0,8.21160177091611,7.959714905484969,-0.027889348684018156,-2.571311587279923,,
