City,Turnover_Rate,Average rent ($),Year,Total_Units,Buy_Price,Intl_Students_Prov
Abbotsford-Mission,,862.0,2015,,,
Abbotsford-Mission,,909.0,2016,,,
Abbotsford-Mission,,929.0,2017,,,
Abbotsford-Mission,,1016.0,2018,,,
Abbotsford-Mission,,1124.0,2019,,,
Abbotsford-Mission,,1145.0,2020,,,
Abbotsford-Mission,,1293.0,2021,,,
Abbotsford-Mission,,1389.0,2022,,,
Abbotsford-Mission,,1522.0,2023,,,
Abbotsford-Mission,,1507.0,2024,,,
Abbotsford-Mission,,1623.0,2025,,,
Alma,,500.0,2015,,,
Alma,,511.0,2016,,,
Alma,,521.0,2017,,,
Alma,,523.0,2018,,,
Alma,,541.0,2019,,,
Alma,,558.0,2020,,,
Alma,,572.0,2021,,,
Alma,,605.0,2022,,,
Alma,,655.0,2023,,,
Alma,,728.0,2024,,,
Alma,,828.0,2025,,,
Amos,,584.0,2015,,,
Amos,,597.0,2016,,,
Amos,,687.0,2020,,,
Amos,,698.0,2021,,,
Amos,,743.0,2022,,,
Amos,,752.0,2023,,,
Amos,,873.0,2024,,,
Amos,,1002.0,2025,,,
Baie-Comeau,,611.0,2015,,,
Baie-Comeau,,613.0,2016,,,
Baie-Comeau,,618.0,2017,,,
Baie-Comeau,,623.0,2018,,,
Baie-Comeau,,627.0,2019,,,
Baie-Comeau,,649.0,2020,,,
Baie-Comeau,,636.0,2021,,,
Baie-Comeau,,717.0,2022,,,
Baie-Comeau,,751.0,2023,,,
Baie-Comeau,,800.0,2024,,,
Baie-Comeau,,855.0,2025,,,
Barrie,,1169.0,2015,,,
Barrie,,1155.0,2016,,,
Barrie,,1198.0,2017,,,
Barrie,,1328.0,2018,,,
Barrie,,1337.0,2019,,,
Barrie,,1396.0,2020,,,
Barrie,,1502.0,2021,,,
Barrie,,1542.0,2022,,,
Barrie,,1611.0,2023,,,
Barrie,,1703.0,2024,,,
Barrie,,1749.0,2025,,,
Bathurst,,622.0,2015,,,
Bathurst,,629.0,2016,,,
Bathurst,,601.0,2017,,,
Bathurst,,636.0,2018,,,
Bathurst,,644.0,2019,,,
Bathurst,,717.0,2020,,,
Bathurst,,752.0,2021,,,
