Region,Year,Unemployment_Rate,City_Map
"Abitibi-Témiscamingue, Quebec",2015,6.966666666666666,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2016,6.766666666666667,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2017,5.333333333333333,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2018,3.8083333333333336,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2019,4.091666666666667,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2020,6.716666666666666,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2021,5.1000000000000005,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2022,3.3000000000000003,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2023,3.1999999999999997,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2024,2.908333333333333,Abitibi-Témiscamingue
"Abitibi-Témiscamingue, Quebec",2025,3.9333333333333336,Abitibi-Témiscamingue
Alberta,2015,5.916666666666667,Alberta
Alberta,2016,8.091666666666667,Alberta
Alberta,2017,8.158333333333333,Alberta
Alberta,2018,6.6000000000000005,Alberta
Alberta,2019,6.8,Alberta
Alberta,2020,11.108333333333334,Alberta
Alberta,2021,8.908333333333333,Alberta
Alberta,2022,5.941666666666666,Alberta
Alberta,2023,5.8500000000000005,Alberta
Alberta,2024,6.925,Alberta
Alberta,2025,7.233333333333333,Alberta
"Annapolis Valley, Nova Scotia",2015,8.866666666666667,Annapolis Valley
"Annapolis Valley, Nova Scotia",2016,8.208333333333334,Annapolis Valley
"Annapolis Valley, Nova Scotia",2017,8.516666666666667,Annapolis Valley
"Annapolis Valley, Nova Scotia",2018,7.4750000000000005,Annapolis Valley
"Annapolis Valley, Nova Scotia",2019,6.608333333333333,Annapolis Valley
"Annapolis Valley, Nova Scotia",2020,8.783333333333333,Annapolis Valley
"Annapolis Valley, Nova Scotia",2021,7.916666666666667,Annapolis Valley
"Annapolis Valley, Nova Scotia",2022,5.3500000000000005,Annapolis Valley
"Annapolis Valley, Nova Scotia",2023,5.066666666666666,Annapolis Valley
"Annapolis Valley, Nova Scotia",2024,5.808333333333334,Annapolis Valley
"Annapolis Valley, Nova Scotia",2025,5.2749999999999995,Annapolis Valley
"Avalon Peninsula, Newfoundland and Labrador",2015,8.916666666666666,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2016,10.450000000000001,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2017,11.158333333333333,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2018,11.466666666666667,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2019,9.575000000000001,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2020,12.241666666666667,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2021,10.541666666666666,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2022,8.65,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2023,7.366666666666667,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2024,7.891666666666667,Avalon Peninsula
"Avalon Peninsula, Newfoundland and Labrador",2025,8.466666666666667,Avalon Peninsula
"Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River, Alberta",2015,5.616666666666667,Banff-Jasper-Rocky Mountain House and Athabasca-Grande Prairie-Peace River
