City,Province,Year,Scenario,Predicted_Rent
Abbotsford-Mission,British Columbia,2026,Status Quo,1646.4796
Alma,Unknown,2026,Status Quo,1010.01776
Amos,Unknown,2026,Status Quo,1148.2821
Baie-Comeau,Unknown,2026,Status Quo,1089.1748
Barrie,Ontario,2026,Status Quo,1667.909
Bathurst,Unknown,2026,Status Quo,1170.3203
Bay Roberts,Unknown,2026,Status Quo,339.27112
Bracebridge,Unknown,2026,Status Quo,1467.772
Brandon,Unknown,2026,Status Quo,1255.3127
Brantford,Ontario,2026,Status Quo,1527.4344
Brighton,Unknown,2026,Status Quo,1304.5466
Brock,Unknown,2026,Status Quo,1293.332
Brockville,Unknown,2026,Status Quo,1276.0718
Brooks,Unknown,2026,Status Quo,1286.5587
Calgary,Alberta,2026,Status Quo,1737.2122
Campbell River,Unknown,2026,Status Quo,1471.2467
Campbellton,Unknown,2026,Status Quo,985.6862
Campbellton,Unknown,2026,Status Quo,985.6862
Campbellton,Unknown,2026,Status Quo,985.6862
Camrose,Unknown,2026,Status Quo,1311.4237
Canmore,Unknown,2026,Status Quo,2171.9583
Cape Breton,Unknown,2026,Status Quo,1255.3127
Centre Wellington,Unknown,2026,Status Quo,1483.8739
Charlottetown,Prince Edward Island,2026,Status Quo,1409.5538
Chatham-Kent,Unknown,2026,Status Quo,1255.3127
Chilliwack,British Columbia,2026,Status Quo,1536.0692
Cobourg,Unknown,2026,Status Quo,1534.7122
Cold Lake,Unknown,2026,Status Quo,1362.235
Collingwood,Unknown,2026,Status Quo,1479.7427
Corner Brook,Unknown,2026,Status Quo,1201.1399
Cornwall,Unknown,2026,Status Quo,1255.3127
Courtenay,Unknown,2026,Status Quo,1530.131
Cowansville,Unknown,2026,Status Quo,1194.4015
Cranbrook,Unknown,2026,Status Quo,1255.3127
Dawson Creek,Unknown,2026,Status Quo,1260.7391
Dolbeau-Mistassini,Unknown,2026,Status Quo,930.828
Drummondville,Quebec,2026,Status Quo,1114.9573
Duncan,Unknown,2026,Status Quo,1341.6156
East Hants,Unknown,2026,Status Quo,439.8463
Edmonton,Alberta,2026,Status Quo,1536.9835
Edmundston,Unknown,2026,Status Quo,1069.7242
Elliot Lake,Unknown,2026,Status Quo,1089.9557
Essex,Unknown,2026,Status Quo,385.50574
Estevan,Unknown,2026,Status Quo,1260.103
Fort St. John,Unknown,2026,Status Quo,1266.5825
Fredericton,Unknown,2026,Status Quo,1295.1604
Gander,Unknown,2026,Status Quo,1187.092
Gaspé,Unknown,2026,Status Quo,1106.089
Gatineau,Quebec,2026,Status Quo,1214.293
Granby,Unknown,2026,Status Quo,1212.9504
Grand Falls-Windsor,Unknown,2026,Status Quo,1158.5259
Grande Prairie,Alberta,2026,Status Quo,1495.0238
Gravenhurst,Unknown,2026,Status Quo,1429.2861
Greater Napanee,Unknown,2026,Status Quo,1300.2943
Sudbury,Ontario,2026,Status Quo,1511.6293
Sudbury,Ontario,2026,Status Quo,1511.6293
Guelph,Ontario,2026,Status Quo,1667.909
Haldimand County,Unknown,2026,Status Quo,1255.2688
Halifax,Nova Scotia,2026,Status Quo,1606.3384
Hamilton,Ontario,2026,Status Quo,1563.5466
Hawkesbury,Unknown,2026,Status Quo,1129.5988
Hawkesbury,Unknown,2026,Status Quo,1129.5988
Hawkesbury,Unknown,2026,Status Quo,1129.5988
Hawkesbury,Unknown,2026,Status Quo,1129.5988
Hawkesbury,Unknown,2026,Status Quo,1129.5988
Hawkesbury,Unknown,2026,Status Quo,1129.5988
High River,Unknown,2026,Status Quo,1263.7733
Huntsville,Unknown,2026,Status Quo,1462.8556
Ingersoll,Unknown,2026,Status Quo,1255.3127
Joliette,Unknown,2026,Status Quo,1159.6522
Kamloops,British Columbia,2026,Status Quo,1601.3735
Kawartha Lakes,Unknown,2026,Status Quo,1448.398
Kelowna,British Columbia,2026,Status Quo,1834.1841
Kentville,Unknown,2026,Status Quo,1242.2177
Kincardine,Unknown,2026,Status Quo,1532.3887
Kings Subdivision,Unknown,2026,Status Quo,1255.3127
Kingston,Ontario,2026,Status Quo,1607.3658
Kitchener,Ontario,2026,Status Quo,1667.909
La Tuque,Unknown,2026,Status Quo,916.32007
Lachute,Unknown,2026,Status Quo,1187.4594
Lacombe,Unknown,2026,Status Quo,1388.8763
Lambton Shores,Unknown,2026,Status Quo,1456.3546
Leamington,Unknown,2026,Status Quo,509.93457
